order_id,order_date,customer_id,employee_id,product_id,quantity,unit_price,discount_pct,status,payment_method,close_date
1,2024-01-08,5,5,1,3,2499.00,0.10,won,wire_transfer,2024-01-08
2,2024-01-12,9,3,7,1,24000.00,0.05,won,invoice,2024-01-12
3,2024-01-15,1,3,3,2,3499.00,0.00,won,wire_transfer,2024-01-15
4,2024-01-20,10,4,5,1,4999.00,0.15,won,invoice,2024-01-20
5,2024-01-25,3,4,6,1,12000.00,0.00,won,invoice,2024-01-25
6,2024-02-02,15,3,1,5,2499.00,0.20,won,wire_transfer,2024-02-02
7,2024-02-05,7,1,8,2,8500.00,0.00,won,invoice,2024-02-05
8,2024-02-10,2,1,2,4,999.00,0.10,won,credit_card,2024-02-10
9,2024-02-14,19,3,4,2,1799.00,0.05,won,wire_transfer,2024-02-14
10,2024-02-18,6,1,10,3,799.00,0.00,won,credit_card,2024-02-18
11,2024-02-22,13,1,9,5,1500.00,0.00,won,credit_card,2024-02-22
12,2024-03-01,5,5,11,6,599.00,0.10,won,wire_transfer,2024-03-01
13,2024-03-05,10,4,3,1,3499.00,0.10,won,invoice,2024-03-05
14,2024-03-10,4,2,2,2,999.00,0.05,won,credit_card,2024-03-10
15,2024-03-15,16,5,1,2,2499.00,0.10,won,wire_transfer,2024-03-15
16,2024-03-20,11,1,6,1,12000.00,0.00,won,invoice,2024-03-20
17,2024-03-25,15,3,7,1,24000.00,0.10,won,wire_transfer,2024-03-25
18,2024-04-02,20,4,2,3,999.00,0.00,won,credit_card,2024-04-02
19,2024-04-08,3,4,8,1,8500.00,0.00,won,invoice,2024-04-08
20,2024-04-15,9,3,4,3,1799.00,0.05,won,wire_transfer,2024-04-15
21,2024-04-20,7,1,5,2,4999.00,0.15,won,invoice,2024-04-20
22,2024-04-25,1,3,10,4,799.00,0.00,won,credit_card,2024-04-25
23,2024-05-03,13,1,3,1,3499.00,0.10,won,wire_transfer,2024-05-03
24,2024-05-10,19,3,1,4,2499.00,0.20,won,wire_transfer,2024-05-10
25,2024-05-15,5,5,9,3,1500.00,0.00,won,credit_card,2024-05-15
26,2024-05-22,10,4,6,1,12000.00,0.05,won,invoice,2024-05-22
27,2024-06-01,2,1,4,2,1799.00,0.00,won,credit_card,2024-06-01
28,2024-06-05,15,3,3,2,3499.00,0.10,won,invoice,2024-06-05
29,2024-06-12,17,2,2,1,999.00,0.05,lost,credit_card,2024-06-12
30,2024-06-18,6,1,8,1,8500.00,0.00,won,invoice,2024-06-18
31,2024-06-25,16,5,7,1,24000.00,0.15,won,wire_transfer,2024-06-25
32,2024-07-02,8,2,1,2,2499.00,0.10,won,credit_card,2024-07-02
33,2024-07-08,11,1,5,1,4999.00,0.10,won,invoice,2024-07-08
34,2024-07-15,3,4,11,4,599.00,0.00,won,wire_transfer,2024-07-15
35,2024-07-22,9,3,2,3,999.00,0.05,won,wire_transfer,2024-07-22
36,2024-07-28,20,4,9,2,1500.00,0.00,won,credit_card,2024-07-28
37,2024-08-05,1,3,7,1,24000.00,0.20,won,invoice,2024-08-05
38,2024-08-12,5,5,3,1,3499.00,0.10,won,wire_transfer,2024-08-12
39,2024-08-18,14,8,2,2,999.00,0.00,won,credit_card,2024-08-18
40,2024-08-25,13,1,4,2,1799.00,0.05,won,wire_transfer,2024-08-25
41,2024-09-03,19,3,5,1,4999.00,0.00,won,invoice,2024-09-03
42,2024-09-10,10,4,1,3,2499.00,0.15,won,wire_transfer,2024-09-10
43,2024-09-17,7,1,6,1,12000.00,0.00,won,invoice,2024-09-17
44,2024-09-24,15,3,10,5,799.00,0.10,won,wire_transfer,2024-09-24
45,2024-10-01,16,5,3,2,3499.00,0.10,won,wire_transfer,2024-10-01
46,2024-10-08,2,1,8,1,8500.00,0.00,won,invoice,2024-10-08
47,2024-10-15,9,3,1,2,2499.00,0.05,won,wire_transfer,2024-10-15
48,2024-10-22,3,4,4,3,1799.00,0.10,won,invoice,2024-10-22
49,2024-11-01,5,5,7,1,24000.00,0.20,won,wire_transfer,2024-11-01
50,2024-11-08,20,4,2,4,999.00,0.00,won,credit_card,2024-11-08
51,2024-11-15,1,3,5,1,4999.00,0.10,won,invoice,2024-11-15
52,2024-11-22,11,1,11,3,599.00,0.00,won,credit_card,2024-11-22
53,2024-12-02,15,3,3,2,3499.00,0.15,won,invoice,2024-12-02
54,2024-12-10,8,2,1,1,2499.00,0.10,won,credit_card,2024-12-10
55,2024-12-17,13,1,9,4,1500.00,0.00,won,credit_card,2024-12-17
56,2025-01-06,19,3,7,1,24000.00,0.05,won,wire_transfer,2025-01-06
57,2025-01-14,5,5,4,2,1799.00,0.00,won,wire_transfer,2025-01-14
58,2025-01-22,10,4,3,1,3499.00,0.10,won,invoice,2025-01-22
59,2025-02-03,7,1,6,1,12000.00,0.00,won,invoice,2025-02-03
60,2025-02-12,3,4,1,4,2499.00,0.15,won,wire_transfer,2025-02-12
